NumFin,TypeFin,MotorAmp,MotorFre,Phase,Flow,Loc_X,Loc_Y,Thrust,Efficiency,FileName
SingL,Jiatype1,10,0.5,0,0.15,0,0,0.0258087236172141,0.00272923938992517,SingL_Jiatype1_Amp10_freq0.5_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype1,10,1,0,0.15,0,0,0.026618016045494,0.00273063957174036,SingL_Jiatype1_Amp10_freq1_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype1,10,2,0,0.15,0,0,0.119831478411907,0.014398892365382,SingL_Jiatype1_Amp10_freq2_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype1,20,0.5,0,0.15,0,0,0.151919338051455,0.0168077466028969,SingL_Jiatype1_Amp20_freq0.5_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype1,20,1,0,0.15,0,0,0.105662809522787,0.00954728288594435,SingL_Jiatype1_Amp20_freq1_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype1,20,2,0,0.15,0,0,0.158022415231744,0.0170866203924284,SingL_Jiatype1_Amp20_freq2_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype1,30,0.5,0,0.15,0,0,0.185641569297793,0.0163368737638917,SingL_Jiatype1_Amp30_freq0.5_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype1,30,1,0,0.15,0,0,0.205530421214941,0.0132034994504551,SingL_Jiatype1_Amp30_freq1_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype1,30,2,0,0.15,0,0,0.177517906292344,0.0148099543847943,SingL_Jiatype1_Amp30_freq2_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype2,10,0.5,0,0.15,0,0,0.0270052578936447,0.00207373828416621,SingL_Jiatype2_Amp10_freq0.5_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype2,10,1,0,0.15,0,0,0.0460971228721115,0.00344327329537288,SingL_Jiatype2_Amp10_freq1_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype2,10,2,0,0.15,0,0,0.0491281080237937,0.00872055023862596,SingL_Jiatype2_Amp10_freq2_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype2,20,0.5,0,0.15,0,0,0.0734162211041969,0.00503539644512244,SingL_Jiatype2_Amp20_freq0.5_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype2,20,1,0,0.15,0,0,0.209752671846914,0.0110421340615593,SingL_Jiatype2_Amp20_freq1_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype2,20,2,0,0.15,0,0,-0.0357144087893253,0.0085633658861858,SingL_Jiatype2_Amp20_freq2_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype2,30,0.5,0,0.15,0,0,0.168651989179642,0.00622929766729518,SingL_Jiatype2_Amp30_freq0.5_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype2,30,1,0,0.15,0,0,0.352202454611848,0.0110993608775272,SingL_Jiatype2_Amp30_freq1_phase0_flow0.15_x0_y0_iter1_SingL.csv
SingL,Jiatype2,30,2,0,0.15,0,0,-0.0831222672342159,0.00842332323297197,SingL_Jiatype2_Amp30_freq2_phase0_flow0.15_x0_y0_iter1_SingL.csv
